profession,score
Stevedore,1
Steward/Stewardess,1
Stock Broker,3
Stock Clerk,1
Stock Filler,1
Stone Carver,1
Stone Polisher,1
Stone Processing Plant Operator,1
Store Keeper,1
Storekeeper,1
Stream Press Machine Operator,1
Street Sweeper,1
Street Vendor,1
Student Affairs Supervisor,1
Supermarket Supervisor,1
Supervisor,1
Supply and Distribution Manager,1
Supply Chain Analyst,1
Supply Chain Manager,1
Surgeon,1
Survey and Market Research Interviewer,2
Survey Engineer,2
System Administrator,1
Systems Analyst,1
Tabacco Products Maker,1
Tailor,1
Tanner,1
Tax Advisor,3
Taxi Driver,1
Teachers,1
Technical Manager,1
Technicians,1
Telecommunication Assistant,1
Telecommunication Engineer,2
Telecommunication Line Installer,1
Telecommunications Engineering Technicia,1
Telecommunications Equipment Repairer,1
Telephone Operator,1
Telephone Switchboard Operator,1
Television Director,3
Textile Machine Operator,1
Theatre Director,3
Ticket Coductor,1
Ticket Collector,1
Tile Layer,1
Tile Layer Assistant,1
Tile Polisher,1
Tool Sharpener,1
Tour Guide,2
Tourist Information Clerk,1
Tourist Information Manager,1
Tractor Driver,1
Traffic Planner,2
Train Driver,1
Train Fitter,1
Trainers,1
Training Manager,1
Translator,1
Transport Clerk,2
Transportation Manager,1
Travel Agency Manager,3
Travel Agent,3
Travel Services Clerk,1
Travel Tickets Clerk,1
Treasurer,3
Tree and Shrub Crop Grower,1
Trench Digger Operator,1
Turbine Mechanic,1
Turbine Operation Supervisor,1
Turbine Operator,1
Turner,1
Typist,1
Tyre Repairer,1
Underwater Diver,1
University President,3
University Professor,1
University Vice-President,3
Upholsterer Assistant,1
Urban Planner,2
Vehicle Assembler,1
Vehicle Maintenance Supervisor,1
Vehicle Mechanic,1
Vehicle Rental Agent,3
Vehicle Upholsterer,1
Vehicles Mechanic Assistant,1
Venereologist,1
Veterinarian,1
Veterinary Technician,1
Vice President,3
Visitors Guide,2
Wages Clerk,1
Waiter,1
Warehouse Manager,1
Watchmaker,1
Water Treatment Plant Operator,1
Weather Forecaster,1
Weaver,1
Web Developer,1
Web Technician,1
Weighting Clerk,1
Welder,1
Welder Assistant,1
Welding Supervisor,1
Wholesale Manager,1
Wood Processing Plant Operator,1
Wood Treater,1
Wood Turner,1
Writers,1
Yarn Dyeing Machine Operator,1
Youth Sport Director,3
Zoologist,1
